codigo,nombre,precio,cantidad_bulto,vendor,proveedor,category,tags,imagen
DCH-AB0581,PERFUME YARA AB058-1 rosa,3.35,96,LAMB,DCH,Perfume,perfume,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AB0581.jpg
DCH-AB0582,PERFUME ASAD AB058-2 negro,3.35,96,LAMB,DCH,Perfume,"perfume, negro",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AB0582.jpg
DCH-AB0586,PERFUME YARA AB058-6 rojo,3.35,96,LAMB,DCH,Perfume,perfume,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AB0586.jpg
DCH-AB05811,PERFUME club de nuit INTENSE,3.35,96,LAMB,DCH,Perfume,"perfume, intense",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AB05811.jpg
DCH-AB05822,PERFUME AMEERAT AL ARAB,3.35,96,LAMB,DCH,Perfume,"perfume, ameerat",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-AB05822.jpg
DCH-B10049,PERFUME YARA CAJA x24pcs,0.88,288,LAMB,DCH,Perfume,perfume,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B10049.jpg
DCH-B10051,PERFUME ASAD CAJA x24pcs,0.88,288,LAMB,DCH,Perfume,perfume,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B10051.jpg
DCH-B10091,PERFUME AMEERAT AL ARAB,0.88,288,LAMB,DCH,Perfume,"perfume, ameerat",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B10091.jpg
DCH-B10092,PERFUME ASAD CAJA x24pcs,0.88,288,LAMB,DCH,Perfume,perfume,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B10092.jpg
DCH-B10093,PERFUME KHAMRAH CAJA,0.88,288,LAMB,DCH,Perfume,"perfume, khamrah",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B10093.jpg
DCH-L11109,PERFUME KHAMRAH QAHWA,0.88,288,LAMB,DCH,Perfume,"perfume, khamrah, qahwa, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-L11109.jpg
DCH-B10096,PERFUME FAKHAR LATTAFA,0.88,288,LAMB,DCH,Perfume,"perfume, fakhar, lattafa, blanco",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B10096.jpg
DCH-B10097,PERFUME FAKHAR LATTAFA,0.88,288,LAMB,DCH,Perfume,"perfume, fakhar, lattafa, negro",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B10097.jpg
DCH-B10099,PERFUME MAYAR CAJA x24pcs,0.88,288,LAMB,DCH,Perfume,"perfume, mayar",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B10099.jpg
DCH-B100102,PERFUME MAYAR CAJA x24pcs,0.88,288,LAMB,DCH,Perfume,"perfume, mayar",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B100102.jpg
DCH-B100103,PERFUME ANANF 9 PM CAJA,0.88,288,LAMB,DCH,Perfume,"perfume, ananf",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B100103.jpg
DCH-B100115,PERFUME SAKEENA CAJA,0.88,288,LAMB,DCH,Perfume,"perfume, sakeena",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B100115.jpg
DCH-B100117,PERFUME HAYA CAJA x24pcs,0.88,288,LAMB,DCH,Perfume,perfume,https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B100117.jpg
DCH-B100120,PERFUME negro CAJA x24pcs,0.88,288,LAMB,DCH,Perfume,"perfume, negro",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B100120.jpg
DCH-B100135,PERFUME ASAD marron CAJA,0.88,288,LAMB,DCH,Perfume,"perfume, marron",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-B100135.jpg
DCH-L11110,PERFUME GISSAH CAJA x24pcs,0.88,288,LAMB,DCH,Perfume,"perfume, gissah",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-L11110.jpg
DCH-24193,PERFUME FAKHAR LATTAFA,11.0,48,LAMB,DCH,Perfume,"perfume, fakhar, lattafa, dorado",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24193.jpg
DCH-HARA1,PERFUME AL HARAMAIN,16.8,48,LAMB,DCH,Perfume,"perfume, haramain, amber",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-HARA1.jpg
DCH-HARA5,PERFUME AL HARAMAIN,16.8,48,LAMB,DCH,Perfume,"perfume, haramain, amber, private, edition",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-HARA5.jpg
DCH-HARA6,PERFUME AL HARAMAIN,16.8,48,LAMB,DCH,Perfume,"perfume, haramain, amber, edition",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-HARA6.jpg
DCH-HARA2,PERFUME AL HARAMAIN,16.8,48,LAMB,DCH,Perfume,"perfume, haramain, amber, rouge",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-HARA2.jpg
DCH-K1,PERFUME KHAMRAH LATTAFA,12.5,48,LAMB,DCH,Perfume,"perfume, khamrah, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-K1.jpg
DCH-K2,PERFUME KHAMRAH QAHWA,12.5,48,LAMB,DCH,Perfume,"perfume, khamrah, qahwa, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-K2.jpg
DCH-K3,PERFUME KHAMRAH DUKHAN,12.5,48,LAMB,DCH,Perfume,"perfume, khamrah, dukhan, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-K3.jpg
DCH-ORIEN1,PERFUME ORIENTICA ROYAL,13.5,48,LAMB,DCH,Perfume,"perfume, orientica, royal, amber",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-ORIEN1.jpg
DCH-ORIEN2,PERFUME ORIENTICA AMBER,13.5,48,LAMB,DCH,Perfume,"perfume, orientica, amber, rouge",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-ORIEN2.jpg
DCH-N4,PERFUME BHARARA VIKING,20.0,48,LAMB,DCH,Perfume,"perfume, bharara, viking, cairo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-N4.jpg
DCH-9BLACK,PERFUME AFNAN 9 PM 100ml,11.0,48,LAMB,DCH,Perfume,"perfume, afnan",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-9BLACK.jpg
DCH-MAYA1,PERFUME MAYAR,10.0,48,LAMB,DCH,Perfume,"perfume, mayar",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-MAYA1.jpg
DCH-8006,PERFUME MASUMAM WHITE,13.0,48,LAMB,DCH,Perfume,"perfume, masumam, white, intense, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-8006.jpg
DCH-8006,PERFUME MASUMAM LATTAFA,13.0,48,LAMB,DCH,Perfume,"perfume, masumam, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-8006.jpg
DCH-24413,PERFUME LATTAFA YARA,4.5,144,LAMB,DCH,Perfume,"perfume, lattafa, blanco",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24413.jpg
DCH-24415,PERFUME LATTAFA YARA Rojo,4.5,144,LAMB,DCH,Perfume,"perfume, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24415.jpg
DCH-24416,PERFUME LATTAFA YARA Rojo,4.5,144,LAMB,DCH,Perfume,"perfume, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24416.jpg
DCH-24417,PERFUME LATTAFA ASAD Rojo,4.5,144,LAMB,DCH,Perfume,"perfume, lattafa, oscuro",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24417.jpg
DCH-24418,PERFUME LATTAFA ASAD Azul,4.5,144,LAMB,DCH,Perfume,"perfume, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24418.jpg
DCH-24051,PERFUME LATTAFA YARA,8.2,48,LAMB,DCH,Perfume,"perfume, lattafa, rosado",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24051.jpg
DCH-24052,PERFUME LATTAFA ASAD,8.0,48,LAMB,DCH,Perfume,"perfume, lattafa, negro",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24052.jpg
DCH-24054,PERFUME LATTAFA YARA,8.0,48,LAMB,DCH,Perfume,"perfume, lattafa, amarillo",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24054.jpg
DCH-24057,PERFUME LATTAFA ASAD rojo,8.0,48,LAMB,DCH,Perfume,"perfume, lattafa, oscuro",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24057.jpg
DCH-24058,PERFUME LATTAFA ASAD azul,8.0,48,LAMB,DCH,Perfume,"perfume, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24058.jpg
DCH-24059,PERFUME LATTAFA YARA rojo,8.2,48,LAMB,DCH,Perfume,"perfume, lattafa",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-24059.jpg
DCH-L3,PERFUME ODYSSEY DUBAI,10.5,48,LAMB,DCH,Perfume,"perfume, odyssey, dubai, chocolate",https://cdn.shopify.com/s/files/1/0751/1474/1909/files/DCH-L3.jpg
