codigo,nombre,precio,cantidad_bulto,marca
BF-UV82,HANDY WALKIE-TALKIE RADIO BAOFENG 5W EN CAJA,18.00,50,SIN
BF-R5,HANDY WALKIE-TALKIE RADIO BAOFENG BF-5R 5W,18.00,50,SIN
BF-888S,HANDY WALKIE-TALKIE RADIO BAOFENG EN DOS UNIDADES,18.00,50,SIN
T26D,Altavoz Portátil Lemolele T26D C/ Cámara Para Auto,75.00,20,SIN
T9D,Estéreo Inalámbrico Para Coche Carplay Audio Portátil Para AUTO T9D,75.00,20,SIN
K06,Auriculares Inalámbricos Rgb Bluetooth Auriculares Para Casc K06,10.00,100,SIN
K10,Auriculares Del Casco Del Bluetooth De La Radio De Fm K10 CON CAMARA,35.00,100,SIN
TM01,AURICULAR BLUETOOTH DEPORTIVO TM01,4.50,100,SIN
TM02,AURICULAR BLUETOOTH DEPORTIVO TM02,4.50,100,SIN
TM03,AURICULAR BLUETOOTH DEPORTIVO TM03,4.50,100,SIN
MXQ-073,TV BOX 8K CON MAGIS,13.00,40,SIN
Q6,TV STICK CON MAGIC,14.00,50,SIN
MQ-101,TV BOX 8K CON MAGIS,12.50,40,SIN
DVB-T2,ANTENA PARA TV DIGITAL,3.90,60,SIN
AT03,ANTENA PARA TV DIGITAL,1.50,200,SIN
B450L,ROUTER ALTA POTENCIA DUAL BAND SMART 1200M B450L,17.00,40,SIN
TRS３,Repetidor Extensor De Señal Wifi 4 Antenas 300mbps TRS３,7.50,100,SIN
LY2004,Lampara Velador Infantil Stitch Labubu Kuromi Capibara Luz LY2004,8.50,90,SIN
LY3024,Lampara De Labubu Cafe Con Helado De Diamantes LY3024,6.50,96,SIN
556-3,Veladores portátiles con diseño LABUBU 556-3,5.50,120,SIN
EX02657,CABLE USB A TYPE-C 6A SIN BOSA Y CAJA,0.25,1000,SIN
Y324,CARGADOR PORTATIL 20000MHL CON CABLE 25W CARGA RAPIDA,11.00,50,SIN
DX211,CARGADOR PORTATIL 10000MHL CON CABLE 4 IN 1 25W CARGA RAPIDA,9.00,100,SIN
DIY3020,pizarra magica luminosa 30*20 luz led usb acrilico con fibron blanco,7.50,60,SIN
HZJ-01,ESPEJO CON LUZ LED PARA AUTO PARASOL,2.80,60,SIN
JG-988,Espejo Luz Led Tactil Usb Maquillaje Portatil Aumento Plegab JG-988,4.20,48,SIN
HZJ-07,ESPEJO CON LUZ LED,12.00,40,SIN
HZJ-10,ESPEJO CON LUZ LED,12.00,12,SIN
XR-568,ESPEJO CON LUZ LED,8.50,20,SIN
XR-3300,Espejo De Maquillaje Led Táctil Tres Pliegues Con Aumento Blanco XR-3300,11.00,16,SIN
TW-666,Perchero De Esquina Estante De Ropa Perchero De Piso 2 Capas TW-666,7.50,20,SIN
TW5-80,Mueble Organizador Zapatos Zapatero Resistente Compacto TW5-80,7.50,18,SIN
TW333-4,Zapatero Multifuncional De Acero Inoxidable De 5 Niveles Con Asa Se Puede Utilizar En Dormitorios TW333-4,5.50,18,SIN
603,Tender Vertical Plegable Alas Ropa Secado Hogar Reforzado 603,10.00,6,SIN
M19 PRO,AURICULAR INALÁMBRICO,3.20,100,SIN
y60,AURICULAR INALÁMBRICO,3.00,100,SIN
Y70,AURICULAR INALÁMBRICO,3.40,100,SIN
Y80,AURICULAR INALÁMBRICO,3.50,100,SIN
M10,AURICULAR INALÁMBRICO,2.70,100,SIN
A-C21,LONCHERA PORTÁTIL ELÉCTRICA,20.00,16,SIN
A32,CÁMARA DOMO DE SEGURIDAD WIFI,25.00,30,SIN
AY-101,MICROFONO VINCHA INALAMBRICO AY-101,8.00,60,SIN
MK-12,Marcadores Doble Punta Fibra Valija Profesional X12 MK-12,0.75,120,SIN
MK-24,Marcadores Doble Punta Fibra Valija Profesional X24 MK-24,1.50,120,SIN
MK-36,Marcadores Doble Punta Fibra Valija Profesional X36 MK-36,2.10,80,SIN
MK-48,Marcadores Doble Punta Fibra Valija Profesional X48 MK-48,2.90,60,SIN
MK-60,Marcadores Doble Punta Fibra Valija Profesional X60 MK-60,3.60,48,SIN
X100,Marcadores Doble Punta Fibra Valija Profesional X100 MK-100,6.50,50,SIN
MK-120,Marcadores Doble Punta Fibra Valija Profesional X120 MK-120,7.70,24,SIN
K-103,Bolígrafos De Pintura Acrílica Marcadores De Pintura De Color 24 UNIDADES,2.50,96,SIN
